employerName,employerAddressStreet_name,employerAddressCity,employerAddressState,employerAddressZip,einEmployerIdentificationNumber,employeeName,ssnOfEmployee,box1WagesTipsAndOtherCompensations,box2FederalIncomeTaxWithheld,box3SocialSecurityWages,box4SocialSecurityTaxWithheld,box16StateWagesTips,box17StateIncomeTax,taxYear
Harrison-King LLC,2373 Deborah Pike Apt. 595,New Michael,OH,22910-7576,27-0420737,Frederick Baker,331-13-8982,127623.85,2264008,135362.73,10355.25,59209.74,3167.63,2019
Griffith PLC Ltd,7523 Kiara Cape,Austinstad,O,48757-9505,41-7771215,Madison Chang,050-77-5869,145584.79,33307.15,124704.78,9539.92,73063.94,3697.47,2019
Johnson-Lucas Group,87100 Lindsay Gateway,New Jerryhaven,MI,99269-1684,184-33-868,Christine Stafford,331-23-0733,.14063291,2768482.,140592.87,10755.35,75966.91,2353.6,2019
Allen-Davis LLC,36294 Garcia Rapids,Burnsbury,AL,30058-1769,73-0620933,Nancy Elliott,755-95-3280,56418.54,6361.48,6292201,4813.53,26253.7,252.42,2019
Mendoza-Ruiz Inc,39663 Vincent Green Apt. 286,New Christine,CO,71756-8975,45-4647132,Ricky Franklin,806-48-9778,211698.37,69690.62,195254.17,14936.94,112767.4,7884.59,2019
Fields-Pacheco and Sons,971 Martinez Drives Apt. 614,Lake Ryan,PA,19057-7715,36-4807362,Gabriel Powell,207-09-8027,132590.9,13956.69,98986.25,757245,68093.36,6327.34,2019
Mcconnell-Whitaker and Sons,19841 Torres Bridge,South Joyfurt,TN,10442-2651,16-8543273,Marcia Campbell,178-86-9660,16750694,12816.96,184863.25,14142.04,83037.93,5840.81,2019
Bryant Ltd and Sons,12146 Williams Turnpike,Port Carol,MI,91387-6122,16-5367778,Jeanne Mullen,753-52-7353,182644.07,50493.52,164747.61,12603.19,98269.48,5395.06,2019
"Flores, Rich and Jones PLC",247 Allison Manor Apt. 257,Guerraborough,TX,17932-1885,45-1687371,Elizabeth Ferguson,008-33-5675,145710.2,30202.77,145706.93,11146.58,78002.56,3196.43,2019
Harris Group Ltd,807 Alexander Pine Suite 787,Kristinafort,MT,01466-4447,01-1527003,Ashlee Chavez,143-32-6653,177355.09,53204.08,208366.14,15940.01,93507.49,4952.41,2019
Duran Inc Group,0500 John Highway Apt. 315,East Laura,ID,93517-7841,66-7506198,Susan Wells,870-96-4337,205438.26,36376.97,231568.73,1771501,9949741,575245,2019
"Curry, Sanchez and Acevedo Inc",4483 Yang Pines Suite 247,Janetstad,TN,61376-4349,26-7423123,Ryan Fuller,463-41-8439,92974.4,30830.64,113080.31,8650.64,46210.83,3923.39,2019
Whitehead Ltd and Sons,81110 Caitlyn Creek Suite 402,Lake Kellyburgh,MD,93725-4506,44-6375438,Amanda Smith,079-98-8087,133855.27,21691.41,100507.01,7688.79,.674051,.448461,2019
and Sons,364 Ariel Courts,Amandatown,AK,12316-9561,Flores-Robinson,John Simmons,380-62-5767,80470.88,24033.1,74643.59,5710.23,38337.36,4822.74,2019
Sosa PLC Group,1828 Dakota Fall,Brianview,WI,07565-3460,23-7862151,Amanda Cowan,767-92-4559,102029.2,1916296,89174.55,682185,5189125,320506,2019
Heath-Taylor Ltd,42633 Jenkins Stravenue,Cookland,NV,72759-0054,74-1339134,Chad Adkins,030-71-4252,91590.23,18020.68,64477.66,4932.54,50308.32,15151.41,2019
Ward LLC and Sons,465 Denise Heights Apt. 828,Lake Eric,LA,99904-1827,84-0030604,Ann Greene,633-66-8979,224464.93,77307.24,198314.2,15171.04,123217.09,6068.69,2019
Frank and Sons PLC,72108 Pittman Islands,Mcdonaldtown,IL,71637-4971,25-4987079,Leah Cherry,850-30-3411,42469.96,6869.48,47787.7,3655.76,20894.34,1920.75,2019
"Cook, Bailey and Osborne LLC",18222 Lori Corner Suite 847,Johnnyhaven,KS,35382-4589,10-8875958,Daniel Harrington,325-64-9593,108293.29,32329.36,116037.05,8876.83,55609.53,6244.84,2019
Schultz-Harris and Sons,2910 Sarah Isle Apt. 010,Santoghaven,Unknown,80600-5245,47-9456324,Courtney Hoffman,140-57-9055,226872.04,3055.97,264095.53,20264.51,109303.07,7960.35,2019
Unknown,164 Turner Burg Suite 514,East Sean,MN,59199-4858,26-8364506,Decker and Sons PLC,348-60-0732,53923.35,8573.3,41870.61,3203.1,25122.18,1882.77,2019
"Gamble, Rodriguez and Blair Ltd",74137 Parsons Valleys,Rodriguezside,IL,46827-8619,83-4827756,Jennifer Lopez,105-78-0260,84232.68,22647.72,106237.4,8127.16,41651479,.567625,2019
Hughes-Fields LLC,86184 Michelle Unions,Wayneville,RI,96920-4460,80-1359580,Amber Patterson,560-52-7390,180688.53,53542.66,204715.56,15660.74,1486819.,7616.5,2019
Novel1-Medina Ltd,490 Parker Bypass Suite 313,knappburgh,0,35300-1931,94-4130330,Kim Moore,000-00-0000,180558.05,42029.25,139843.75,10698.05,97631.03,5015.72,2019
Martinez-Clements LLC,2437 Brenda Corner Apt. 211,Lake Micheal,CA,81306-5765,98-0715720,Jason Sharp,045-87-7812,249641.71,89023.98,292300.83,22361.01,129079.2,11236.62,2019
Scott LLC and Sons,553 Warren Course Suite 807,Levisland,WI,24625-0241,04-4091485,Troy Casey,311-89-7688,128754.19,40015.89,109518.2,8378.14,69934.53,5054.94,2019
"Gonzalez, Hughes and Fowler LLC",11843 Sandra Villages Apt. 712,East Mary,DC,83903-7384,34-0417697,Christopher Collins,059-53-8595,86811.49,12173.02,89128.6,6818.34,3973354,341272,2019
"Sanford, Jones and Eaton and Sons",5832 Theresa Terrace Apt. 051,New Jeffrey,ME,64260-8174,10-4796415,Timothy Jones,252-57-6299,194865.62,22323.54,17505625,133918,10347685,7352.63,2019
"Pratt, Hernandez and Anthony Led",259 Joanna Wells Apt. 844,East Willianton,KA,89284-9516,87-4907955,Rebekah Murray,467-23-4754,48186.52,12869.05,53551.94,4096.72,23970.63,1274.52,2019
Kennedy PLC PLC,0974 Bennett Hills Apt. 757,North Lindseyfurt,ME,59817-8208,23-2105958,Matthew Scott,210-97-3143,75423.94,14362.51,71781.15,5491.26,36070.12,2410.92,2019
Davis-Wagner and Sons,9213 Dawn Key,Stephensfort,HI,02144-1564,76-4920923,Mrs Theresa,019-62-3340,237815.51,58277.56,270476.7,20691.47,108526.69,8320.07,2019
French 104 and See,22463 moreno Stream,Victoriabury,FA,90146-9103,UNKNOWN_EIN,Katie Hensley,000-00-0000,49239.09,1047176,0,1012.09,39034.35,2306.07,2019
"Pace, Allison and Wallace Inc",762 Sheila Glen,Mistystad,IL,71232-7450,63-7847782,Kurt Clark,751-60-9547,161516.46,22767.08,202813.67,15515.25,73203.22,4024.39,2019
Davis and Sons Group,61577 Christopher Pines,South Robertport,NH,34788-6727,45-4918349,Mr. Frank,725-96-4934,182649.73,21555.77,138373.31,10585.56,91141.49,5590.85,2019
"Smith, Evans and Hendricks LLC",33792 Jeffrey Burgs,Morenoburgh,MD,09854-1556,37-8013701,Diane Reyes,741-51-3041,248637.54,32937.66,188273.72,14402.94,.11268186,.661556,2019
Wheeler Group Inc,6332 Buchanan Highway,West Christopher,FL,02255-5969,71-4914665,James Vaughn,840-98-5933,144945.07,25188.98,102055.28,7807.23,.7407296,4178.31,2019
Castro LLC Group,4249 Ali Crest Apt. 208,Breannaburgh,TX,96750-5923,88-9566199,Barbara Franco,437-56-6585,211162.56,71983.53,178659.09,13667.42,95889.81,10536.57,2019
"Rodriguez, Garcia and Pierce Group",15589 Corner Apt. West Craigtown,Unknown,MN,28289-4051,75-6263820,Tara Christensen,426-54-3183,141176.79,14176.06,145758.21,11150.5,67328.09,3758.1,2019
nicholson-Dunn Ltd,40370 mernandez Plains,Meet Brenda,0,17089-0725,43-4391249,Alison Hammond,809-21-4576,234070.02,5301074,186013.35,14230.02,125099.63,8005.3,2019
"Lawrence, Berger and Archer Ltd",6465 David Passage,Lisafort,RI,Unknown,58-2554877,Edward Davis,269-49-2779,142841.18,27590.47,172287.54,13180.0,78494.22,2728.68,2019
Chapman-Estrada Sons and,0842 Lara Villages,Alvarezview,TX,71275-2926,30-5758869,Michael Morgan,550-60-6655,6989601,13927.58,71364.3,5459.37,6732443.,2309.24,2019
"Nelson, Love and Thompson and Sons",9113 Perez Prairie Suite 987,Henrymouth,MI,39620-5556,25-4917998,Carl Turner,659-29-4275,23247105,7688169,257701.51,19714.17,118469.35,11284.56,2019
Webb Ltd Group,171 Allen Drive,Jonesmouth,KS,17537-5265,52-2836465,Bradley Hill,497-78-5154,212792.18,39253.58,242146.8,18524.23,108092.29,612209,2019
Larson-Young and Sons,17930 Ray Point,Chapmanville,RI,93059-5984,45-8902038,Michelle Bell,370-06-1290,246482.31,61772.03,228221.21,17458.92,134026.29,12170.37,2019
"Cannon, Diaz and Adkins Inc",03837 Sandra Grove Apt. 707,Markport,UT,53398-1954,21-7745308,Dawn Harris,875-36-4609,238724.37,35079.8,277881.14,21257.91,115638.67,6891.15,2019
Johnson-Harvey Group,5344 Brown Rapids,Kellyton,UT,77566-5858,26-9819949,Christine Stevenson,537-16-0400,84406.54,26555.05,88964.12,6805.76,40522.36,4163.65,2019
Kelly PLC Ltd,42488 Mann Highway Apt. 717,Tannerville,HI,11318-8685,95-7356736,Anna Morris,380-25-7673,59814.81,18632.27,46520.43,3558.81,0,186557,2019
Cole-Hill Group,93788 Hernandez Circle,North Gregory,WI,82892-2872,92-8446496,Brittany Silva,401-35-4717,8602494,11263.03,65424.4,5004.97,44379.32,2325.73,2019
Smith Group LLC,1100 Torres Greens,North Latoyashire,ID,54254-4776,31-8637274,Juan Salazar,748-16-1689,239228.88,58009.94,189227.32,14475.89,120473.85,11224.81,2019
and Sons Strickland-Thomas,885 Norman Apt. 18,Alyssastad,KY,22694-0347,20-5765046,Evans Cynthia,167-23-8381,20341702,50205.33,164760.51,1260418,10873478,7758.81,2019
Andrade-Frazier PLC,079 Castro Ford Suite 448,North Scottburgh,IL,03445-3701,93-0374958,Kramer Edward,710-09-6630,227755.88,65077.04,268018.95,20503.45,111639.52,5274.04,2019
"Smith, Fitzgerald and Mcdonald Inc",813 Snyder Loaf,Austinport,NM,27572-0597,16-3723191,Robert Anderson,372-90-4537,58709.15,1020115,47408.71,3626.77,.2973266,.118902,2019
Lawson-Gonzalez Inc,75038 Timothy Unions,Lake Penny,MI,70767-7787,33-2156676,Tricia Austin,081-27-9674,102901.12,32210.53,128565.37,9835.25,.5074781,5238.7,2019
Jacobs LLC LLC,04188 Bell Green Apt. 297,Lake Rachael,DC,77581-7026,24-6988796,Anne Rodriguez,800-50-0733,190226.6,64756.22,186629.68,14277.17,94237.1,9760.77,2019
Knight PLC PLC,743 Whitney Causeway,West Jason,DE,65546-2028,60-4330956,April Payne,274-05-6682,7872169,22743.73,98064.5,7501.93,37138.98,2481.66,2019
"Reid, Brown and Yoder Sons and",12015 Jones Turnpike Apt. 243,West Donna,IA,75788-6767,38-2743335,Michael Bowen,274-17-2150,129999.8,4524841,15485564,1184646,616744,299231,2019
Gay-Potts LLC,48464 Bentley Path Apt. 216,Lake Carl,VT,89867-9769,68-3376487,Mary Sandoval,532-46-5259,5756968,18118.1,74656.48,5711.22,26433.86,2122.37,2019
"Daugherty, Perez and King Inc",00150 Maria Harbors Apt. 182,Wagnershire,MD,04845-4060,64-0231031,Charles Martinez,556-94-5171,231225.24,63167.46,283590.12,21694.64,104696.88,10741.66,2019
"Clark, Brown and Rivera LLC",9446 Samantha Springs,Williamsstad,NC,25420-6106,90-9375060,Nichole Sutton,475-13-3309,175675.5,38786.94,124567.41,9529.41,93007.51,4515.21,2019
Brown-Matthews Inc,691 James Squares Apt. 744,Grayshire,MI,58301-4783,80-7005454,Robert Oconnell,561-41-2712,100610.78,184416,124328.64,9511.14,18910.64,4529.96,2019
Brown Inc and Sons,4354 Anthony Locks,South Tammybury,RI,50661-4601,12-2585373,Lisa White,522-55-5977,240965.98,35103.79,271211.08,20747.65,120450.94,8852.77,2019
"Jefferson, Anderson and Mills Group",52179 Gail Center Apt. 959,Hatfieldberg,UT,34824-0271,23-4242003,Mike Cooke,515-83-7808,133935.67,38302.53,152135.83,11638.39,68229.52,666942,2019
Williams-Smith PLC,970 Sarah Vista Suite 811,West Ericafort,WV,22182-1837,01-9775171,Monica Clark,713-20-5302,208473.2,2410161,213290.79,16316.75,0,539796,2019
"Peterson, Sexton and Love PLC",213 Megan Ferry Suite 599,Christopherhaven,IN,79370-3035,85-6607113,Tammy Watson,391-85-4508,13193058,24819.21,120696.72,9233.3,7095564,6338.52,2019
Arnold-Cuevas and Sons,57689 Mallory Glens,North Charles,NJ,41524-3966,85-2692425,Donald Hobbs,629-50-9203,197057.56,39818.28,154777.55,11840.48,9105496,7034.931,2019
Mata-Ray PLC,118 Sanders Mountains Suite 699,Jamesstad,MS,88945-9803,62-8360028,May James,580-94-9430,57879.41,8877.69,53339.23,4080.45,300905,200879.,2019
Collins-Saunders and Sons,9652 Scott Groves Apt. 116,Rodriguezmouth,NE,70838-1080,37-3493491,Stephanie Dawson,720-74-9502,41669.07,11182.93,53826.13,4117.7,20287.85,1690.44,2019
Bishop PLC LLC,087 Jennifer Place,Port Michael,CT,81390-3670,36-6521506,Kyle Walker,298-58-3762,221413.09,23117.24,22019102,16844.61,104241.84,4518.08,2019
"Ingram, Chang and Russell Inc",16127 Erik Extension,Charlotteland,MO,87444-8699,10-6184066,Matthew Hendrix,377-38-8854,94073.93,21444.59,77774.27,5949.73,47257.79,3552.23,2019
Campbell-Jones LLC,4859 Jason Springs Suite 702,Hallland,DE,37834-7387,73-1929189,Denise Stout,388-91-5728,219960.94,75109.88,156871.01,12000.63,118215.74,4792.26,2019
"Lyons, Rose and Fuller and Sons",915 David Creek Apt. 572,South Tinabury,NC,91369-6315,26-3716151,Natalie Cook,613-01-7429,213828.3,53976.11,265638.26,20321.33,103475914,9878.52,2019
62-7492385,2762 Blair Ramp,Mathewsville,MT,73701-7055,UNKNOWN_EIN,Miller James,813-07-9495,150047.64,29336.88,144555.81,11058.52,74994.88,1959.47,2019
Hawkins Inc Ltd,77504 Michelle Trafficway Suite 996,Lake Joshua,UT,29180-9610,52-8087700,Sabrina Thomas,402-22-3590,66074.9,19111.2,74810.38,5722.99,30372.48,240088,2019
"Williams, Avery and Wood and Sons",00084 Jason Fords,East Briannahaven,AR,83467-2813,37-1722295,Terri Russell,577-09-1344,219464.4,54302.5,206359.9,15786.53,108939.12,5951.2,2019
Cross-White PLC,5773 Floyd Path Suite 675,South Paulland,Unknown,66041-5926,12-0493907,Crystal Myers,183-58-4573,93193.42,24407.6,90514.1,6924.33,49143.44,3790.88,2019
Mcdonald-Adams Inc,85740 Stephanie Spurs,East Amy,TX,59525-4266,42-2215286,Kelly Thompson,200-56-4100,19506414,51244.41,18030588,13793.4,97726.89,8180.0,2019
"Quinn, Nelson and Byrd Inc",803 Fischer Meadows Suite 010,South Philipport,HI,20660-3826,43-7530030,Michael Haynes,875-34-1319,219631.58,36172.8,253646.73,19403.97,101515.79,11831.66,2019
Johnson Ltd LLC,239 Rebecca Stravenue,West Michealbury,MO,54857-6480,93-8085571,Miller Kristin,495-41-8499,224476.19,34622.59,.26380195,20180.85,121453.27,6986.85,2019
Lopez Ltd and Sons,19530 Wyatt Roads,West Markshire,NV,65799-0643,60-1214042,Eric Wilcox,190-72-9169,166114.55,36849.56,206844.32,15823.59,90371.02,707772,2019
"Paul, Douglas and Ramos Group",4050 Ashley Tunnel,New Annette,CT,01011-5966,21-0600826,Seth Curtis,249-60-9185,.6364441,19040.33,.7092746,5425.95,3490543,322073,2019
Munoz-Johnson Ltd,286 Smith Circle,North Juliaview,VA,85011-4757,71-8393024,Gary Fisher,638-62-9924,241992.09,30996.51,270761.69,20713.27,122453251,13763.03,2019
Lara-Riley Group,1903 Dominguez Trace,East Michael,IL,01668-4887,92-8299145,Karl Smith,651-35-7892,74015.69,18350.67,79386.86,6073.09,4000849,3795.,2019
Parker-Williams PLC,32127 Walker Shores,Waremouth,NE,47082-6014,76-2402746,Jennifer White,843-96-1492,194649.25,65640.99,143359.66,10967.01,101175.32,8387.91,2019
"Griffin, Carlson and Moore Inc",51650 Brandon Squares,Port Jaredland,NV,09347-3180,11-7308678,Andrew Chavez,128-77-5884,221260.06,35687.82,179149.07,13704.9,107989.13,7205.36,2019
Cooley LLC Group,32885 Crawford Lock Suite 143,Lake Kevin,CA,26028-7905,40-5955563,Jason Powell,420-08-9639,182428.14,45970.0,142559.99,10905.84,92558.36,7933.72,2019
"Gray, Hernandez and Bradshaw and Sons",021 Clayton Springs Suite 653,Ryanmouth,Unknown,54833-9807,92-8459614,Kurt Krueger,664-08-7686,0,.5313295,106398.05,8139.45,47120.79,6063.72,2018
Mcdonald-Jackson LLC,1459 Joshua Crossroad Suite 972,East Deniseburgh,CA,90156-4938,30-7488907,Katherine Escobar,413-59-4505,103048.43,36159.81,133394.53,1020468,49391.19,2431.51,2018
Lee-Phillips and Sons,3086 Jennifer Lakes Apt. 032,Silvaport,MD,21737-9247,93-8027739,Carlos Miller,233-88-5197,0,1220299,47455.25,3630.33,.4907,.339174,2018
Lewis-Bell Group,13203 Robert Pines,East Williamhaven,WV,15930-8821,60-5598124,Lisa Wells,234-25-5539,0,0,193137.53,14775.02,71082.42,.734502,2018
"Smith, Rose and French Itd",0377 David Shoal,North Anthonychester,NH,96961-6876,53-9494262,Justin Gonzalez,612-24-8196,0,998138,41698.6,3189.94,26838.4,2527.01,2018
Bates-Cruz Inc,35657 James Courts,West Jasmine,NM,04093-1257,68-78 84298,sara Dean,708-85-6052,62278.33,15724.51,4244446.,3400.15,29849.64,2832.35,2018
"Weaver , Reyes and Barnett LLC",05125 Snow Isle,South Deborahfurt,NH,28864-6919,30-0915668,Michael Brown,758-31-8946,0,10371.99,50639.22,3873.9,23916.83,1801.2,2018
Anderson LLC PLC,8200 Teresa Cape Suite 026,East Elaine,MD,33888-3164,81-1598279,Tamara Lynch,802-40-5682,144041.89,16828.54,151578.06,11595.72,67666.95,8894.26,2018
Castillo-Schroeder PLC,151 Thomas Ville Apt. 019,West Isaiahmouth,Mo,40729-7558,95-0812195,Erica Lee,725-28-8485,0,0,41868.71,3202.96,25909.23,845.36,2018
Richardson LLC Inc,951 Jonathon Underpass,West Davidfort,IN,14837-2735,UNKNOWN_EIN,Matthew Manning,242-39-6533,139507.77,2445332,149344.52,13424.86,0,4630.34,2018
"Dudley, Elliott and Miranda and Sons",114 Allison Pike Apt. 591,New Mistyburgh,VA,41995-9955,UNKNOWN_EIN,James Cooper,298-44-6815,82441.12,0,101276.39,7747.64,4512215,.228463,2018
LLC Gardner-Anderson,757 Cassidy Garden,East Davidfort,KY,45062-0904,87-0100147,Bruce Jones,207-66-8919,.4298562,0,42332.19,3238.41,.2158972,1285.9,2018
Johnson Inc Group,90404 Anita Club Suite 751,Guerreroville,PA,14463-7391,93-9684825,aron Kennedy,000-00-0000,0,12233.56,0,7689.93,49309.57,3808.35,2018
Johnston LLC Itd,9788 william Lodge,Chandlerfurt,NV,31006-1793,35-3517049,Francisco Thornton,000-00-0000,76127.,0,64222.03,4912.99,0,3250.38,2018
"Mcdaniel, Wood",88524 Sandra Ferry,Aprilhaven,VT,61714-2674,13-2131329,Thomas Robinson,444-72-5153,0,0,2593157,0,,4132.54,2018
Terry Group Inc,207 Lisa Underpass Suite 644,Port Kendra,CO,64443-3719,57-4496004,Kimberly Meyer,458-59-1504,0,0,0,0,36972.4,2925.99,2018
Grant and Sons and Sons,1373 stafford Ports,West Matthewhaven,CA,12994-4666,32-0404777,Emily smith,339-21-8499,55558.73,6528.67,55084.58,4213.97,29308.85,0,2018
"Bradshaw, Richards and Dalton PLC",584 Jones Throughway,East Shelbyfort,VT,75319-9486,65-7930490,Eric Hernandez,453-01-2098,0,36106.47,0,10563.28,.5932891,5932.34,2018
Martinez-Luna PLC,16845 Matthew Tunnel Apt. 779,South Christine,ND,83703-3820,15-0580989,April Maldonado,000-00-0000,0,.2067811,.8838167,6761.2,0,0,2018
Miller Inc LLC,2676 William Mountain,Danielsfort,MN,31233-5510,26-0180103,Kimberly Villanueva,654-43-4102,41345.53,.1053767,43334.69,3315.1,22546.51,1483.14,2018
"Perez, Taylor and Ramirez Ltd",2316 Price Squares Suite 053,Lake James,NV,78054-9921,34-9125256,Christopher Carr,100-02-7219,0,0,134133.34,10261.2,6383789,413757,2018
Pratt PLC Group,9783 Garcia Meadow,Greenmouth,AL,01436-7916,76-1132926,Ricky Adams,138-08-0355,0,6700.29,.5632185,2462.23,.2052065,2095.2,2018
and Sons Koch-Mendez,1076 Cunningham Rest Suite 867,Burnsland,FL,15956-8425,57-7864420,Christopher Pacheco,398-80-5506,192371.71,37810.86,188844.47,14446.6,96907.39,4147.26,2018
Hayes Inc Ltd,09133 Brandi Underpass Apt. 125,West Kaitlintown,DC,85780-5051,83-7061575,Mary Smith,802-99-4257,204462.02,24495.57,239186.9,18297.8,107324.55,7765.71,2018
Group Palmer-Keith,74120 Martinez Shores,Amandaborough,ID,82371-6317,83-8423636,Elizabeth Phillips,123-25-9294,0,13889.11,88282.45,6753.61,3753283,2775.2,2018
"Nichols, Mcneil and Tucker Ltd",21549 stacy Dale Apt. 666,North Martin,VT,00619-4867,75-5648282,Patrick Hoover,000-00-0000,17273002,319714,0,1538365,78546.76,4381.43,2018
"Shelton, Castillo and Beard Group",39497 Jacob Fork,North Matthew,ND,21793-7969,84-3289694,Alexis,000-00-0000,0,0,276923.83,21189.26,123932.43,5714.97,2018
Ayala-Colon Inc,9381 santiago Divide,Savageberg,VA,96529-0481,66-1920593,Joshua Martin,183-90-9286,118662.94,33327.01,105676,0,0,0,2018
"Terry, Brown and Clark Led",7463 Brent Green,Carterport,MA,25746-0106,UNKNOWN_EIN,stacie Bruce,000-00-0000,236316.14,96159.02,196389.15,0,4,3134.07,2018
walker Group LLC,15017 Kristin Shores,Jacobsonview,sc,05731-0457,66-5950759,Jean Dudley,245-57-7420,206961.49,5052336,263930.51,20191.3,96218.59,6275.,2018
Rogers LLC PLC,024 Young unions,Port Donald,SC,99938-3971,25-9239875,Rachel Oconnell,000-00-0000,0,13170.2,135459.3,10362.64,62174.02,4481.22,2018
Davis PLC Ltd,4072 Hart Cove Suite 439,East Aaron,NY,36912-4324,22-1094092,Lisa Baker,000-00-0000,843459,0,70931.34,0,44234.11,5244.97,2018
Lopez-Daniel PLC,47076 Jonathan Mountain,West Pamela,DE,88415 - 0981,37-9520497,Lauren Vance,811-27-0825,80,0,0,0,636315.,981653.,2018
and Marshall-Cruz,9803 Giles Skyway,Stevenberg,OH,10459-3508,47-3994792,Jordan Hoffman,272-18-1078,220322.62,0,249662.8,19099.21,115767.91,14302.44,2018
"Johnson, Morgan and Lynn Inc",160 Flores Rest Apt. 515,Robertside,NC,95543-4926,67-9975862,Robert Tate,469-16-1389,14401867,41401.36,169596.95,12574.17,0,.666702,2018
"Gonzalez, Johnson and Colon LLC",5888 David Flats,Alexanderton,AK,63893-6825,93-7573510,Samantha,441-19-5767,45353.42,16579.35,44270.57,3346.7,24317.59,1769.16,2018
"Spencer, Ramirez and Hall PLC",115 Maxwell Vista,Derrickhaven,CA,24556-2250,63-7216642,Shawn Hicks,765-95-9193,.77228187,.8740050,187014.51,14306.61,.11779002,12900.26,2018
"Smith, Winters and Hernandez and Sons",427 Burton Burgs,West Ryanberg,NH,34884-4550,32-1745124,Jerry Orr,316-49-5793,0,0,228500.77,17480.31,97892.27,5023.97,2018
Reed Group Group,por Jones Fall,Brad,MA,49272 -0415,UNKNOWN_EIN,Michelle Cannon,000-00-0000,41686.29,0,0,0,22398.54,0,2018
Sawyer-Harmon PLC,000 valerie Summit Apt. 987,East Patriciaview,IN,91506-2521,57-6393179,Jason Stewart,035-51-2594,147640.25,32961.78,155560.6,11909.39,0,4121.55,2018
Campbell Inc LLC,8854 Tanya Ways,Heatherside,MT,90791-7419,UNKNOWN_EIN,william Frye,000-00-0000,77120.93,22335.46,9793137,7491.75,.897,3718.39,2018
Ortega-Hayden and,$540 Beat Spring Apt. 471,Laurafurt,IN,40913-5681,UNKNOWN_EIN,Candice,000-00-0000,0,0,0,0,0,0,2018
"Richmond, Watson and Johnson Group",574 Johnson Roads,East Andrea,SD,38893-8313,40-8165150,Bruce Ross,347-72-7630,141073.46,29030.74,129428.9,.990131,63534.98,4310.55,2018
Garcia and Sons Grow,929 Chapman Talands,Unknown,Unknown,Unknown,UNKNOWN_EIN,Faaneta,000-00-0000,0,0,0,0,0,0,2018
